Date,Type,Note
日期(YYYY-MM-DD),類型(國定假日/全公司停班/補班日/其他),備註
2026-01-01,國定假日,元旦放假
2026-02-15,國定假日,春節放假
2026-02-16,國定假日,除夕放假
2026-02-17,國定假日,春節放假
2026-02-18,國定假日,春節放假
2026-02-19,國定假日,春節放假
2026-02-20,國定假日,春節補假
2026-02-27,國定假日,和平紀念日補假
2026-02-28,國定假日,和平紀念日放假
2026-04-03,國定假日,兒童節補假
2026-04-04,國定假日,兒童節放假
2026-04-05,國定假日,清明節放假
2026-04-06,國定假日,清明節補假
2026-05-01,國定假日,勞動節放假
2026-06-19,國定假日,端午節放假
2026-09-25,國定假日,中秋節放假
2026-09-28,國定假日,教師節放假
2026-10-09,國定假日,國慶日補假
2026-10-10,國定假日,國慶日放假
2026-10-25,國定假日,臺灣光復暨金門古寧頭大捷紀念日放假
2026-10-26,國定假日,臺灣光復暨金門古寧頭大捷紀念日補假
2026-12-25,國定假日,行憲紀念日放假
2027-01-01,國定假日,中華民國開國紀念日（元旦）放假
2027-02-04,國定假日,除夕前一日（小年夜）放假
2027-02-05,國定假日,除夕放假
2027-02-06,國定假日,春節放假
2027-02-07,國定假日,春節放假
2027-02-08,國定假日,春節放假
2027-02-09,國定假日,春節補假
2027-02-10,國定假日,春節補假
2027-02-28,國定假日,和平紀念日放假
2027-03-01,國定假日,和平紀念日補假
2027-04-04,國定假日,兒童節放假
2027-04-05,國定假日,清明節放假
2027-04-06,國定假日,兒童節補假
2027-04-30,國定假日,勞動節補假
2027-05-01,國定假日,勞動節放假
2027-06-09,國定假日,端午節放假
2027-09-15,國定假日,中秋節放假
2027-09-28,國定假日,孔子誕辰紀念日／教師節放假
2027-10-10,國定假日,國慶日放假
2027-10-11,國定假日,國慶日補假
2027-10-25,國定假日,臺灣光復暨金門古寧頭大捷紀念日放假
2027-12-24,國定假日,行憲紀念日補假
2027-12-25,國定假日,行憲紀念日放假
2027-12-31,國定假日,2028 年元旦補假
